id,name,lat,lon,satellite_view mapbox,dominant_orchidee_pft,orchidee_frac,dominant_generic_pft,generic_pft_frac,confidence_flag,quality_flag_obs_model,soil_type,remarques,sources,dataset,year_fluxnet2007,year_fluxnet2015,year_plumber2,year_sifmip2,year_warmwinter2020,igbp (from orchidas site list),years_amf_base,,,years_amf_fluxnet
AU-Emr,Emerald,-23.858700,148.474600,N/A,PFT12,"PFT12(0.5), PFT11(0.1), PFT1(0.4)",CropsC3,"CropsC3(0.50), BS(0.40), NatGrC4(0.10)",C,B4,N/A,GRA,https://fluxnet.org/sites/siteinfo/AU-Emr,fluxnet2015,N/A,2011-2013,2012-2013,N/A,N/A,GRA,,,,
AU-Fog,Fogg Dam,-12.545200,131.307200,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,"eviter : Tropical wetland / Oryza rufipogon, Pseudoraphis spinescens and Eleocharis dulcis / IBRA: DAC / Seasonally inundated wetland, conservation reserve, heavy clay soils (vertosol).",https://ozflux.org.au/monitoringsites/foggdam/foggdam_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,"fluxnet2007, fluxnet2015",2006-2007,2006-2008,N/A,N/A,N/A,WET,,,,
AU-Gin,Gingin,-31.376400,115.713800,N/A,PFT05,"PFT5(0.7), PFT10(0.3)",TrBrEv,"TrBrEv(0.70), NatGrC3(0.30)",A,B3,N/A,"Banksia spp. mainly B. menziesii, B. attenuata, and B. grandis / Mediterranean woodlands / occasional stands of eucalypts and acacia that reach to 10m and have a denser foliage cover. / IBRA: SWA / The only current active (and accidental) management is fire, with the Dept of Parks and Wildlife conducting
controlled fuel reduction burns approximately every 20 years. The area immediately to the north was burned in
a wildfire in 2006, and to the south has not been burned for at least 30 years.",https://ozflux.org.au/monitoringsites/gingin/gingin_description.html & https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2011-2014,2012-2017,N/A,N/A,WSA,,,,
AU-GWW,"Great Western Woodlands, Western Australia, Australia",-30.191300,120.654100,N/A,PFT05,"PFT5(0.5), PFT11(0.15), PFT14(0.20), PFT1(0.15)",ShBrEv,"ShBrEv(0.50), NatGrC3(0.20), BS(0.15), NatGrC4(0.15)",B,A3,N/A,"temperate woodland, shrubland and mallee vegetation / Mediterranean woodlands / IBRA: COO / Managed as conservation reserve since 2007; sheep and cattle grazing from 1906 to 2007 led to some soil
surface degradation.",https://ozflux.org.au/monitoringsites/gww/gww_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2013-2014,2013-2017,N/A,N/A,SAV,,,,
AU-How,Howard Springs,-12.494300,131.152300,N/A,PFT02,"PFT2(0.8), PFT11(0.2)",TrBrEv,"TrBrEv(0.80), NatGrC4(0.20)",A,A3,N/A,"Eucalyptus miniata and Eucalyptus tentrodonata / Tropical savannas / IBRA: DAC / Open-forest savanna on sandy loam soils, peri-urban water catchment reserve, previously grazed (1960s), fire
frequency 1 in 2 years",https://ozflux.org.au/monitoringsites/howardsprings/howardsprings_description.html & https://fluxnet.org/sites/siteinfo/AU-How & https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,"fluxnet2007, fluxnet2015",2001-2006,2001-2014,2003-2017,N/A,N/A,WSA,,,,
AU-Lox,Loxton,-34.470400,140.655100,N/A,PFT06,"PFT6(0.9), PFT10(0.1)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",A,D4,N/A,DBF / almond orchard / decommissioned, https://fluxnet.org/sites/siteinfo/AU-Lox,fluxnet2015,N/A,2008-2009,N/A,N/A,N/A,DBF,,,,
AU-RDF,"Red Dirt Melon Farm, Northern Territory",-14.563600,132.477600,N/A,PFT03,"PFT3(0.6), PFT11(0.40)",TrBrDe,"TrBrDe(0.60), NatGrC4(0.40)",C,C4,N/A,"Tropical savannas / IBRA: DAB / Woodland savanna on sandy loam soils, cleared and converted to cropland in 2012, fire frequency (in uncleared
state) 1 in 12 years. / The savanna has now been cleared and the land is being cultivated for watermelon production in 2013",https://data.ozflux.org.au/portal/pub/viewColDetails.jspx?collection.id=1882721&collection.owner.id=304&viewType=anonymous & https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2011-2013,N/A,N/A,N/A,WSA,,,,
AU-Rig,Riggs Creek,-36.649900,145.575900,N/A,PFT10,"PFT10(0.90), PFT11(0.10)",NatGrC3,"NatGrC3(0.90), NatGrC4(0.10)",A,A4,N/A,Pasture / Inactive Site / IBRA: RIV / Ongoing cattle and sheep grazing.,https://www.ozflux.org.au/monitoringsites/riggscreek/riggscreek_description.html & https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2011-2014,2011-2016,N/A,N/A,GRA,,,,
AU-Rob,"Robson Creek, Queensland, Australia",-17.117500,145.630100,N/A,PFT05,"PFT5(0.90), PFT10(0.05), PFT11(0.05)",TrBrEv,"TrBrEv(0.90), NatGrC3(0.05), NatGrC4(0.05)",A,A4,N/A,"Regional Ecosystem (RE) 7.3.36a, complex mesophyll vine forest (Queensland Government 2006). The forest type changes to RE 7.12.16a, simple to complex notophyll vine forest / Tropical and sub-tropical moist broadleaf forests / Selective logging finished 1969. World Heritage, National Park fetch region. Traditional use of the forest by
Tablelands Yidinji had finished by the 1960s.",https://ozflux.org.au/monitoringsites/robsoncreek/robsoncreek_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2014-2014,2014-2017,N/A,N/A,EBF,,,,
AU-Stp,Sturt Plains,-17.150700,133.350200,N/A,PFT11,PFT11(1),NatGrC4,NatGrC4(1.00),A,B3,N/A,"Tropical grasslands / IBRA: MGD / Mitchel grassland plain on cracking clay soils (vertosol), very low grazing pressure (<0.1 head ha -1 ), fire 1 in
16 years.",https://ozflux.org.au/monitoringsites/sturtplains/sturtplains_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2008-2014,2010-2017,N/A,N/A,GRA,,,,
