id,name,lat,lon,satellite_view mapbox,dominant_orchidee_pft,orchidee_frac,dominant_generic_pft,generic_pft_frac,confidence_flag,quality_flag_obs_model,soil_type,remarques,sources,dataset,year_fluxnet2007,year_fluxnet2015,year_plumber2,year_sifmip2,year_warmwinter2020,igbp (from orchidas site list),years_amf_base,,,years_amf_fluxnet
CA-NS2,UCI-1930 burn site,55.905800,-98.524700,N/A,PFT07,"PFT7(0.85), PFT15(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,B3,N/A,ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-NS2,"fluxnet2007, fluxnet2015",2001-2005,2001-2005,2002-2004,N/A,N/A,ENF,,,,
CA-NS3,UCI-1964 burn site,55.911700,-98.382200,N/A,PFT07,"PFT7(0.80), PFT15(0.20)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.20)",A,B2,N/A,ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-NS3,"fluxnet2007, fluxnet2015",2001-2005,2001-2005,N/A,N/A,N/A,ENF,,,,
CA-NS4,UCI-1964 burn site wet,55.914400,-98.380600,N/A,PFT07,"PFT7(0.65), PFT15(0.35)",TrNeEv,"TrNeEv(0.65), NatGrC3(0.35)",A,B3,N/A,ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-NS4,"fluxnet2007, fluxnet2015",2002-2004,2002-2005,2003-2004,N/A,N/A,ENF,,,,
CA-NS5,UCI-1981 burn site,55.863100,-98.485000,N/A,PFT07,"PFT7(0.7), PFT1(0.2), PFT15(0.1)",TrNeEv,"TrNeEv(0.70), BS(0.20), NatGrC3(0.10)",A,B3,N/A,ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-NS6,"fluxnet2007, fluxnet2015",2001-2005,2001-2005,2003-2004,N/A,N/A,ENF,,,,
CA-NS6,UCI-1989 burn site,55.916700,-98.964400,N/A,PFT07,"PFT7(0.8), PFT15(0.2)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.20)",A,B3,N/A,Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. / OSH https://ameriflux.lbl.gov/sites/siteinfo/CA-NS6 ? ENF ? https://daac.ornl.gov/NACP/guides/VPRM_North_America_Parameters.html,https://www.osti.gov/dataexplorer/biblio/dataset/1902829,"fluxnet2007, fluxnet2015",2001-2005,2001-2005,2002-2004,N/A,N/A,OSH,,,,
CA-NS7,UCI-1998 burn site,56.635800,-99.948300,N/A,PFT07,"PFT7(0.70), PFT15(0.30)",TrNeEv,"TrNeEv(0.70), NatGrC3(0.30)",A,B2,N/A,Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. / OSH https://ameriflux.lbl.gov/sites/siteinfo/CA-NS7 ? ENF ? https://daac.ornl.gov/NACP/guides/VPRM_North_America_Parameters.html,https://fluxnet.org/sites/siteinfo/CA-NS7 https://www.osti.gov/dataexplorer/biblio/dataset/1246004,"fluxnet2007, fluxnet2015",2002-2005,2002-2005,2003-2004,N/A,N/A,OSH,,,,
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",53.9872,-105.1178,N/A,PFT07,"PFT7(0.85), PFT9 (0.1), PFT15(0.05)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.05)",A,A3,N/A,ENF,https://water.usask.ca/berms/#Sites & https://ameriflux.lbl.gov/sites/siteinfo/CA-Obs,,,,,,,,,,,
CA-Ojp,"Saskatchewan - Western Boreal, Mature Jack Pine", 	53.9163,-104.6920,N/A,PFT07,"PFT7(0.9), PFT15(0.1)",TrNeEv,"TrNeEv(0.90), NatGrC3(0.10)",A,A3,N/A,ENF,https://water.usask.ca/berms/#Sites & https://ameriflux.lbl.gov/sites/siteinfo/CA-Ojp,,,,,,,,,,,
CA-Qcu,Quebec Boreal Cutover Site,49.267100,-74.036500,N/A,PFT15,"PFT7(0.3), PFT15(0.7)",NatGrC3,"NatGrC3(0.70), TrNeEv(0.30)",N/A,,N/A,cultover éviter ? boreal_cool (Dfc) / ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-Qcu,fluxnet2007,2001-2006,N/A,2002-2006,N/A,N/A,ENF,,,,
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",49.692500,-74.342100,N/A,PFT07,"PFT7(0.9), PFT15(0.1)",TrNeEv,"TrNeEv(0.90), NatGrC3(0.10)",A,A3,N/A,ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-Qfo,"fluxnet2007, fluxnet2015",2003-2006,2003-2010,2004-2010,N/A,N/A,ENF,,,,
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",54.485000,-105.817600,N/A,PFT07,"PFT7(0.9), PFT15(0.1)",TrNeEv,"TrNeEv(0.90), NatGrC3(0.10)",A,B2,N/A,ENF,https://ameriflux.lbl.gov/sites/siteinfo/CA-SF1,"fluxnet2007, fluxnet2015",2003-2005,2003-2006,2004-2006,N/A,N/A,ENF,,,,
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",54.253900,-105.877500,N/A,PFT07,"PFT7(0.5), PFT8(0.4), PFT15(0.1)",TrNeEv,"TrNeEv(0.50), TrBrDe(0.40), NatGrC3(0.10)",A,B3,N/A,N/A,https://ameriflux.lbl.gov/sites/siteinfo/CA-SF2,"fluxnet2007, fluxnet2015",2003-2005,2001-2005,2003-2005,N/A,N/A,ENF,,,,
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",54.091600,-106.005300,N/A,PFT07,"PFT7(0.6), PFT8(0.3), PFT15(0.1)",TrNeEv,"TrNeEv(0.60), TrBrDe(0.30), NatGrC3(0.10)",A,B3,N/A,N/A,N/A,"fluxnet2007, fluxnet2015",2003-2005,2001-2006,2003-2005,N/A,N/A,OSH,,,,
CH-Aws,Alp Weissenstein,46.583200,9.790400,N/A,PFT15,"PFT15(0.80), PFT7(0.20)",NatGrC3,"NatGrC3(0.80), TrNeEv(0.20)",A,C3,N/A,"infos site : Deschampsio cespitosae-Poetum alpinae (at research site), Trifolio thalii-Festucetum violoceae (slope above research site)",http://www.europe-fluxdata.eu/home/site-details?id=CH-Aws & https://www.swissfluxnet.ethz.ch/index.php/sites/site-info-ch-aws-2/,warmwinter2020,N/A,N/A,N/A,N/A,2006-2019,N/A,,,,
CH-Cha,Chamau,47.210200,8.410400,N/A,PFT10,PFT10(1.00),NatGrC3,NatGrC3(1.00),A,A4,N/A,N/A,https://www.swissfluxnet.ethz.ch/index.php/sites/site-info-ch-cha/,"fluxnet2015, warmwinter2020",N/A,2005-2014,2006-2014,N/A,2005-2019,GRA,,,,
CH-Dav,Davos,46.815300,9.855900,N/A,PFT07,"PFT7(0.90), PFT15(0.10)",TrNeEv,"TrNeEv(0.90), NatGrC3(0.10)",A,A3,N/A,N/A,N/A,"fluxnet2015, warmwinter2020",N/A,1997-2014,1997-2014,N/A,1997-2019,ENF,,,,
CH-Fru,Früebüel,47.115800,8.537800,N/A,PFT10,"PFT10(0.80), PFT6(0.10), PFT4(0.10)",NatGrC3,"NatGrC3(0.80), TrBrDe(0.10), TrNeEv(0.10)",A,A3,N/A,infos site,https://www.swissfluxnet.ethz.ch/index.php/sites/site-info-ch-fru/ & https://fluxnet.org/sites/siteinfo/CH-Fru,"fluxnet2015, warmwinter2020",N/A,2005-2014,2007-2014,N/A,2005-2019,GRA,,,,
CH-Lae,Laegern,47.478300,8.364400,N/A,PFT06,"PFT6(0.60), PFT4(0.40)",TrBrDe,"TrBrDe(0.60), TrNeEv(0.40)",B,A3,N/A,infos site,https://fluxnet.org/sites/siteinfo/CH-Lae & https://www.swissfluxnet.ethz.ch/index.php/sites/site-info-ch-lae/,"fluxnet2015, warmwinter2020",N/A,2004-2014,N/A,N/A,2004-2019,MF,,,,
CH-Oe1,Oensingen grassland,47.285800,7.731900,N/A,PFT10,"PFT10(0.85), PFT13(0.15)",NatGrC3,"NatGrC3(0.85), CropsC4(0.15)",B,A3,N/A,GRA mais ressemble à des crops ?,https://fluxnet.org/sites/siteinfo/CH-Oe1,"fluxnet2007, fluxnet2015",2002-2006,2002-2008,2002-2008,N/A,N/A,GRA,,,,
CH-Oe2,Oensingen crop,47.286400,7.733700,N/A,PFT12,"PFT12(0.85), PFT13(0.15)",CropsC3,"CropsC3(0.85), CropsC4(0.15)",N/A,,N/A,a eviter : crop rotation,https://www.swissfluxnet.ethz.ch/index.php/sites/site-info-ch-oe2/ & https://fluxnet.org/sites/siteinfo/CH-Oe2,"fluxnet2007, fluxnet2015, warmwinter2020",2005-2005,2004-2014,N/A,N/A,2004-2019,CRO,,,,
CN-Cha,Changbaishan,42.402500,128.095800,N/A,PFT06,"PFT6(0.6),PFT4(0.2),PFT15(0.2)",TrBrDe,"TrBrDe(0.60), NatGrC3(0.20), TrNeEv(0.20)",A,A2,N/A,"Mixed Forest : Korean pine (Pinus koraiensis), Amur linden (Tilia amurensis), Mono maple (Acer mono), Manchurian ash (Fraxinus mandshurica) and Mongolian oak (Quercus mongolica)K",http://www.chinaflux.org/engczd/index.aspx?nodeid=1038,fluxnet2015,N/A,2003-2005,2003-2005,N/A,N/A,MF,,,,
CN-Cng,Changling,44.593400,123.509200,N/A,PFT11,"PFT11(0.5), PFT10(0.4), PFT1(0.1)",NatGrC4,"NatGrC4(0.50), NatGrC3(0.40), BS(0.10)",B,B3,N/A,GRA,https://fluxnet.org/sites/siteinfo/CN-Cng,fluxnet2015,N/A,2007-2010,2008-2009,N/A,N/A,GRA,,,,
CN-Dan,Dangxiong,30.497800,91.066400,N/A,PFT15,"PFT15(0.9), PFT1(0.1)",NatGrC3,"NatGrC3(0.90), BS(0.10)",B,A4,N/A,"GRA / Kobresia pygmaea C. B., Stipa capillacea Keng and Carex montis-everestii Kükenth dominate the meadows, accompanied by other tussock sedges, grasses and herbs, all of which provide about 50-80%",http://www.chinaflux.org/engczd/index.aspx?nodeid=609 https://fluxnet.org/sites/siteinfo/CN-Dan,fluxnet2015,N/A,2004-2005,2004-2005,N/A,N/A,GRA,,,,
CN-Din,Dinghushan,23.173300,112.536100,N/A,PFT05,"PFT5(0.8), PFT4(0.2)",TrBrEv,"TrBrEv(0.80), TrNeEv(0.20)",B,A3,N/A,"typical evergreen broadleaved forest of subtropical and typics,which is well conserved near the Tropic of Cancer. Dinghushan biosphere reserve has lots of botanic types, includes many endangered and rare types.Major dominant species in canopy layers include Cleistocalyx Operculatus,Ayzygium jambos,Castanopsis chinensis Pinus massoniania, Rhododendron Moulmainense,etc.the vegetation type at this region can be divided into rainforest ,Monsoon evergreen broadleaved forest, pine and broad-leaved mixed forest,pine forest ,mountain shrubby grassland ,etc.",http://www.chinaflux.org/engczd/index.aspx?nodeid=625,fluxnet2015,N/A,2003-2005,2003-2005,N/A,N/A,EBF,,,,
CN-Du2,Duolun_grassland (D01),42.046700,116.283600,N/A,PFT15,PFT15(1.00),NatGrC3,NatGrC3(1.00),A,B3,N/A,Stipa spp. and Artemisia frigida,http://www.chinaflux.org/engczd/index.aspx?nodeid=616,fluxnet2015,N/A,2006-2008,2007-2008,N/A,N/A,GRA,,,,
CN-Ha2,Haibei Shrubland,37.608600,101.326900,N/A,PFT15,PFT15(1.00),NatGrC3,NatGrC3(1.00),N/A,,N/A,"eviter : Wetland / Kobresia humilis, Festuca ovina, Elymus nutans, Poa pratensis, Carexsca brirostris, Scripus distigmaticus, Gentiana straminea, Gentiana farreri, Leontop odiumnanum, Blvsmus sinocompressus, Potentilla nivea, and Dasiphora fruticosa. ",http://www.chinaflux.org/engczd/index.aspx?nodeid=611,fluxnet2015,N/A,2003-2005,N/A,N/A,N/A,WET,,,,
CN-HaM,Haibei Alpine Tibet site,37.370000,101.180000,N/A,PFT15,PFT15(1.00),NatGrC3,NatGrC3(1.00),A,A2,N/A,N/A,N/A,fluxnet2015,N/A,2002-2004,2002-2003,N/A,N/A,GRA,,,,
CN-Qia,Qianyanzhou,26.741400,115.058100,N/A,PFT04,"PFT4(0.8), PFT10(0.2)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.20)",A,A2,N/A,"planted coniferous forest, which was planted in 1983.The dominant species are Pinus elliottii,Pinus massoniana,Cunninghamia lanceolata and Schima superba etc.T",http://www.chinaflux.org/engczd/index.aspx?nodeid=278,fluxnet2015,N/A,2003-2005,2003-2005,N/A,N/A,ENF,,,,
CN-Sw2,Siziwang Grazed (SZWG),41.790200,111.897100,N/A,PFT10,PFT10(1.00),NatGrC3,NatGrC3(1.00),B,,N/A,"Stipa breviflora, Cleistogenes songorica and Artemisia frigid. Major companion species includes Convolvulus ammannii, Neopallasia pectinate, Kochi prostrate, Allium tenuissimum, Caragana stenophylla, Leymus chinensis, and Caragana microphylla.",http://www.chinaflux.org/engczd/index.aspx?nodeid=617,fluxnet2015,N/A,2010-2012,N/A,N/A,N/A,GRA,,,,
CZ-BK1,Bily Kriz forest,49.502100,18.536900,N/A,PFT04,"PFT4(0.85), PFT15(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,A3,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_CZ-BK1 & https://fluxnet.org/sites/siteinfo/CZ-BK1,"fluxnet2007, fluxnet2015, warmwinter2020",2000-2006,2004-2008,N/A,N/A,2004-2019,ENF,,,,
CZ-BK2,Bily Kriz grassland,49.494400,18.542900,N/A,PFT15,"PFT15(0.60), PFT4(0.40)",NatGrC3,"NatGrC3(0.60), TrNeEv(0.40)",B,D2,N/A,GRA / présence de bcp de sapins sur les images satellites,https://fluxnet.org/sites/siteinfo/CZ-BK2,fluxnet2015,N/A,2004-2006,N/A,N/A,N/A,GRA,,,,
CZ-KrP,Kresin u Pacova,49.573300,15.078800,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),A,A2,N/A,N/A,http://www.europe-fluxdata.eu/home/site-details?id=CZ-KrP & https://meta.icos-cp.eu/resources/stations/FLUXNET_CZ-KrP,warmwinter2020,N/A,N/A,N/A,N/A,2014-2020,N/A,,,,
CZ-Lnz,Lanzhot,48.681600,16.946400,N/A,PFT06,"PFT6(0.85), PFT10(0.15)",TrBrDe,"TrBrDe(0.85), NatGrC3(0.15)",A,A2,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_CZ-Lnz & http://www.europe-fluxdata.eu/home/site-details?id=CZ-Lnz,warmwinter2020,N/A,N/A,N/A,N/A,2015-2019,N/A,,,,
CZ-RAJ,Rajec,49.443700,16.696500,N/A,PFT04,"PFT4(0.85), PFT10(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,A2,N/A,N/A,http://www.europe-fluxdata.eu/home/site-details?id=CZ-RAJ,warmwinter2020,N/A,N/A,N/A,N/A,2012-2019,N/A,,,,
CZ-Stn,Stitna,49.036000,17.969900,N/A,PFT06,"PFT6(0.85), PFT10(0.15)",TrBrDe,"TrBrDe(0.85), NatGrC3(0.15)",A,A2,N/A,N/A,http://www.europe-fluxdata.eu/home/site-details?id=CZ-Stn,warmwinter2020,N/A,N/A,N/A,N/A,2010-2019,N/A,,,,
CZ-wet,Trebon (CZECHWET),49.024700,14.770400,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,à éviter : wetland,https://fluxnet.org/sites/siteinfo/CZ-wet,"fluxnet2007, fluxnet2015, warmwinter2020",2006-2006,2006-2014,2007-2014,N/A,2006-2019,WET,,,,
DE-Akm,Anklam,53.866200,13.683400,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,à éviter : wetland,https://fluxnet.org/sites/siteinfo/DE-Akm,"fluxnet2015, warmwinter2020",N/A,2009-2014,N/A,N/A,2009-2019,WET,,,,
DE-Bay,Bayreuth-Waldstein/WeidenBrunnen,50.141900,11.866900,N/A,PFT04,"PFT4(0.85), PFT10(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,B2,N/A,ENF,https://www.europe-fluxdata.eu/home/site-details?id=DE-Bay,fluxnet2007,1996-1999,N/A,1997-1999,N/A,N/A,ENF,,,,
DE-Geb,Gebesee,51.099700,10.914600,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),A,A2,N/A,N/A,N/A,"fluxnet2007, fluxnet2015, warmwinter2020",2004-2006,2001-2014,2001-2014,N/A,2001-2019,CRO,,,,
DE-Gri,Grillenburg,50.950000,13.512600,N/A,PFT10,PFT10(1.00),NatGrC3,NatGrC3(1.00),A,,N/A,N/A,https://fluxnet.org/sites/siteinfo/DE-Gri & https://www.icos-cp.eu/sites/default/files/cmis/DE-Gri%20Associated%20ICOS%20Ecosystem%20Station%20Labelling%20Report.pdf,"fluxnet2007, fluxnet2015, warmwinter2020",2005-2006,2004-2014,2004-2014,N/A,2004-2019,GRA,,,,
DE-Hai,Hainich,51.079200,10.452200,N/A,PFT06,"PFT6(0.90), PFT10(0.10)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",A,A2,N/A,N/A,N/A,"fluxnet2007, fluxnet2015, warmwinter2020",2000-2006,2000-2012,2000-2012,N/A,2000-2020,DBF,,,,
DE-HoH,Hohes Holz,52.085300,11.219200,N/A,PFT06,"PFT6(0.90), PFT10(0.10)",TrBrDe,"TrBrDe(0.90), NatGrC3(0.10)",A,A1,N/A,infos sites et frac_300m,https://meta.icos-cp.eu/resources/stations/ES_DE-HoH & https://www.icos-cp.eu/sites/default/files/cmis/DE-HoH%20ICOS%20Ecosystem%20Station%20Labelling%20Report.pdf,warmwinter2020,N/A,N/A,N/A,N/A,2015-2019,N/A,,,,
DE-Hzd,Hetzdorf,50.963800,13.489800,N/A,PFT06,"PFT6(0.80), PFT4(0.20)",TrBrDe,"TrBrDe(0.80), TrNeEv(0.20)",B,A2,N/A,infos site et frac_300m,https://meta.icos-cp.eu/resources/stations/ES_DE-Hzd & http://www.europe-fluxdata.eu/home/site-details?id=DE-Hzd,warmwinter2020,N/A,N/A,N/A,N/A,2010-2019,N/A,,,,
DE-Kli,Klingenberg,50.893100,13.522400,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),A,A2,N/A,N/A,N/A,"fluxnet2007, fluxnet2015, warmwinter2020",2004-2006,2004-2014,2005-2014,N/A,2004-2019,CRO,,,,
DE-Lkb,Lackenberg,49.099600,13.304700,N/A,PFT04,"PFT4(0.70), PFT15(0.30)",TrNeEv,"TrNeEv(0.70), NatGrC3(0.30)",B,B3,N/A,ENF,https://fluxnet.org/sites/siteinfo/DE-Lkb,fluxnet2015,N/A,2009-2013,N/A,N/A,N/A,ENF,,,,
DE-Meh,Mehrstedt 1,51.275300,10.655500,N/A,PFT04,"PFT4(0.45), PFT6(0.45), PFT10(0.1)",TrBrDe,"TrBrDe(0.45), TrNeEv(0.45), NatGrC3(0.10)",C,B2,N/A,MF,https://www.europe-fluxdata.eu/home/site-details?id=DE-Meh,fluxnet2007,2003-2006,N/A,2004-2006,N/A,N/A,GRA,,,,
DE-Obe,Oberbärenburg,50.786700,13.721300,N/A,PFT04,"PFT4(0.80), PFT10(0.20)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.20)",A,A2,N/A,frac_300m,N/A,"fluxnet2015, warmwinter2020",N/A,2008-2014,2008-2014,N/A,2008-2019,ENF,,,,
DE-RuR,Rollesbroich,50.621900,6.304100,N/A,PFT10,"PFT4(0.05), PFT10(0.95)",NatGrC3,"NatGrC3(0.95), TrNeEv(0.05)",A,,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_DE-RuR & https://fluxnet.org/sites/siteinfo/DE-RuR,"fluxnet2015, warmwinter2020",N/A,2011-2014,N/A,N/A,2011-2020,GRA,,,,
DE-RuS,Selhausen Juelich,50.865900,6.447100,N/A,PFT12,"PFT12(0.90), PFT13(0.10)",CropsC3,"CropsC3(0.90), CropsC4(0.10)",A,A3,N/A,frac_300m,https://meta.icos-cp.eu/resources/stations/ES_DE-RuS & https://fluxnet.org/sites/siteinfo/DE-RuS,"fluxnet2015, warmwinter2020",N/A,2011-2014,N/A,N/A,2011-2020,CRO,,,,
DE-RuW,Wustebach,50.504900,6.331000,N/A,PFT04,"PFT4(0.85), PFT10(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,A3,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_DE-RuW,warmwinter2020,N/A,N/A,N/A,N/A,2012-2020,N/A,,,,
DE-Seh,Selhausen,50.870600,6.449700,N/A,PFT12,"PFT12(0.90), PFT13(0.10)",CropsC3,"CropsC3(0.90), CropsC4(0.10)",A,B3,N/A,N/A,https://www.europe-fluxdata.eu/home/site-details?id=DE-Seh,fluxnet2015,N/A,2007-2010,2008-2010,N/A,N/A,CRO,,,,
DE-SfN,Schechenfilz Nord,47.806400,11.327500,N/A,PFT04,"PFT4(0.55), PFT10(0.45)",TrNeEv,"TrNeEv(0.55), NatGrC3(0.45)",N/A,,N/A,eviter : WETLAND,https://fluxnet.org/sites/siteinfo/DE-SfN,fluxnet2015,N/A,2012-2014,2013-2014,N/A,N/A,WET,,,,
DE-Spw,Spreewald,51.892200,14.033700,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,eviter : WETLAND,N/A,fluxnet2015,N/A,2010-2014,N/A,N/A,N/A,WET,,,,
DE-Tha,Tharandt,50.962600,13.565100,N/A,PFT04,"PFT4(0.80), PFT10(0.20)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.20)",A,A2,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_DE-Tha,"fluxnet2007, fluxnet2015, warmwinter2020",1996-2006,1996-2014,1998-2014,N/A,1996-2019,ENF,,,,
DE-Wet,Wetzstein,50.453500,11.457500,N/A,PFT04,"PFT4(0.85), PFT10(0.15)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.15)",A,A2,N/A,ENF,https://www.europe-fluxdata.eu/home/site-details?id=DE-Wet,fluxnet2007,2002-2006,N/A,2002-2006,N/A,N/A,ENF,,,,
DK-Fou,Foulum,56.484200,9.587200,N/A,PFT12,PFT12(1),CropsC3,CropsC3(1.00),B,A3,N/A,CRO,https://fluxnet.org/sites/siteinfo/DK-Fou,"fluxnet2007, fluxnet2015",2005-2005,2005-2005,2005-2005,N/A,N/A,CRO,,,,
DK-Gds,Gludsted Plantage,56.073700,9.334100,N/A,PFT04,"PFT4(0.90), PFT10(0.10)",TrNeEv,"TrNeEv(0.90), NatGrC3(0.10)",A,D3,N/A,info sites et frac_300m,https://meta.icos-cp.eu/resources/stations/ES_DK-Gds,warmwinter2020,N/A,N/A,N/A,N/A,2020-2020,N/A,,,,
DK-Lva,Lille Valby (Rimi),55.683300,12.083300,N/A,PFT10,PFT10(1),NatGrC3,NatGrC3(1.00),B,A2,N/A,GRA,https://www.europe-fluxdata.eu/home/site-details?id=DK-Lva,fluxnet2007,2005-2006,N/A,2005-2006,N/A,N/A,GRA,,,,
DK-Ris,Risbyholm,55.530300,12.097200,N/A,PFT12,PFT12(1),CropsC3,CropsC3(1.00),B,A2,N/A,CRO,https://www.europe-fluxdata.eu/home/site-details?id=DK-Ris,fluxnet2007,2004-2005,N/A,2004-2005,N/A,N/A,CRO,,,,
DK-Sor,Soroe,55.485900,11.644600,N/A,PFT06,"PFT6(0.85), PFT10(0.15)",TrBrDe,"TrBrDe(0.85), NatGrC3(0.15)",A,A2,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_DK-Sor,"fluxnet2007, fluxnet2015, warmwinter2020",1996-2006,1996-2014,1997-2014,N/A,1996-2020,DBF,,,,
ES-Abr,Albuera,38.701800,-6.785900,N/A,PFT10,"PFT10(0.70), PFT5(0.30)",NatGrC3,"NatGrC3(0.70), TrBrEv(0.30)",B,B2,N/A,"PFT10 car KG temp_warm / infos site
et https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7485101/","http://www.europe-fluxdata.eu/home/site-details?id=ES-Abr & https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf 
https://fluxnet.org/2021/02/18/nutrient-availability-revealed-by-eddy-covariance-tarek-s-el-madany/",warmwinter2020,N/A,N/A,N/A,N/A,2015-2020,N/A,,,,
ES-Agu,Aguamarga,36.940000,-2.033200,N/A,PFT10,"PFT1(0.10), PFT10(0.75), PFT5(0.15)",NatGrC3,"NatGrC3(0.75), TrBrEv(0.15), BS(0.10)",B,B3,N/A,PFT14 car KG arid_warm / google map / publi / frac_300m,http://www.europe-fluxdata.eu/home/site-details?id=ES-Agu & https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2015JG003091,warmwinter2020,N/A,N/A,N/A,N/A,2006-2020,N/A,,,,
ES-Cnd,Conde,37.915000,-3.227700,N/A,PFT05,"PFT1(0.10), PFT10(0.20), PFT5(0.70)",TrBrEv,"TrBrEv(0.70), NatGrC3(0.20), BS(0.10)",B,C4,N/A,Google Maps / oliviers (papiers),http://www.europe-fluxdata.eu/home/site-details?id=ES-Cnd & https://www.sciencedirect.com/science/article/pii/S0034425722004308 & https://uu.diva-portal.org/smash/get/diva2:1579426/FULLTEXT01.pdf,warmwinter2020,N/A,N/A,N/A,N/A,2014-2020,N/A,,,,
ES-ES1,El Saler,39.346000,-0.318800,N/A,PFT04,"PFT4(0.85),PFT6(0.05),PFT10(0.1)",TrNeEv,"TrNeEv(0.85), NatGrC3(0.10), TrBrDe(0.05)",B,A3,N/A,ENF,https://www.europe-fluxdata.eu/home/site-details?id=ES-ES1,fluxnet2007,1999-2006,N/A,1999-2006,N/A,N/A,ENF,,,,
ES-ES2,El Saler-Sueca,39.275500,-0.315200,N/A,PFT12,PFT12(1.00),CropsC3,CropsC3(1.00),A,B4,N/A,CRO,https://www.europe-fluxdata.eu/home/site-details?id=ES-ES2,fluxnet2007,2004-2006,N/A,2005-2006,N/A,N/A,CRO,,,,
ES-LgS,Laguna Seca,37.097900,-2.965800,N/A,PFT10,"PFT5(0.3), PFT10(0.4), PFT1(0.3)",NatGrC3,"NatGrC3(0.40), BS(0.30), ShBrEv(0.30)",B,A3,N/A,OSH,https://fluxnet.org/sites/siteinfo/ES-LgS,fluxnet2015,N/A,2007-2009,2007-2007,N/A,N/A,OSH,,,,
ES-LJu,Llano de los Juanes,36.926600,-2.752100,N/A,PFT10,"PFT6(0.10), PFT10(0.90)",NatGrC3,"NatGrC3(0.90), TrBrDe(0.10)",B,B4,N/A,"PFT10 car KG temp_warm / google maps & frac_300m
voir avec les 2 sites au-dessus si PFT14 ou PFT10",https://fluxnet.org/sites/siteinfo/ES-LJu & https://meta.icos-cp.eu/resources/stations/FLUXNET_ES-LJu,warmwinter2020,N/A,N/A,N/A,N/A,2004-2020,N/A,,,,
ES-LM1,Majadas del Tietar North,39.942700,-5.778700,N/A,PFT10,"PFT5(0.30), PFT10(0.70)",NatGrC3,"NatGrC3(0.70), TrBrEv(0.30)",B,A2,N/A,infos site (chene vert) & google map,https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf & https://www.bgc-jena.mpg.de/en/servicegroups/fieldexperiements/locations/majadas& https://meta.icos-cp.eu/resources/stations/FLUXNET_ES-LM1 & http://www.europe-fluxdata.eu/home/site-details?id=ES-LM1,warmwinter2020,N/A,N/A,N/A,N/A,2014-2020,N/A,,,,
ES-LM2,Majadas del Tietar North,39.934600,-5.775900,N/A,PFT10,"PFT5(0.30), PFT10(0.70)",NatGrC3,"NatGrC3(0.70), TrBrEv(0.30)",B,A2,N/A,N/A,https://egusphere.copernicus.org/preprints/2023/egusphere-2023-994/egusphere-2023-994.pdf & http://www.europe-fluxdata.eu/home/site-details?id=ES-LM2,warmwinter2020,N/A,N/A,N/A,N/A,2014-2020,N/A,,,,
